order_id,supplier_id,material_id,quantity,delivered_qty,accepted_qty,rejected_qty,order_date,expected_delivery,actual_delivery,delay_days,delayed,partial_delivery,quality_issue,backup_used,jit_triggered,unit_price,transport_cost,storage_cost,total_cost,weather_risk,month,season
O0001,S2,M1,484,484,484,0,2024-10-08,2024-10-12,2024-10-12,0,0,0,0,0,0,81.49,500.0,0.0,39940.67,0.15,10,Peak
O0002,S7,M1,252,146,146,0,2024-01-31,2024-02-12,2024-02-12,0,0,1,0,0,1,72.32,2700.0,0.0,13259.24,0.1,1,Normal
O0003,S4,M8,513,513,513,0,2025-08-26,2025-08-28,2025-08-28,0,0,0,0,0,0,102.67,150.0,0.0,52818.5,0.35,8,Normal
O0004,S4,M6,506,506,506,0,2024-04-14,2024-04-16,2024-04-16,0,0,0,0,0,0,100.21,150.0,0.0,50854.35,0.05,4,Normal
O0005,S8,M2,295,295,295,0,2025-01-22,2025-01-30,2025-01-30,0,0,0,0,0,1,98.76,1890.0,0.0,31023.63,0.1,1,Normal
O0006,S2,M1,509,509,509,0,2025-11-08,2025-11-13,2025-11-13,0,0,0,0,0,0,83.98,500.0,0.0,43246.37,0.1,11,Peak
O0007,S8,M6,822,822,822,0,2024-06-15,2024-06-22,2024-06-22,0,0,0,0,0,0,93.8,1890.0,0.0,78993.39,0.35,6,Normal
O0008,S3,M4,808,808,808,0,2024-06-16,2024-06-26,2024-06-26,0,0,0,0,0,0,79.44,2160.0,0.0,66347.51,0.35,6,Normal
O0009,S1,M4,835,835,835,0,2024-02-02,2024-02-09,2024-02-09,0,0,0,0,0,0,98.58,800.0,0.0,83110.54,0.1,2,Normal
O0010,S6,M4,1119,1119,1119,0,2025-11-02,2025-11-07,2025-11-07,0,0,0,0,0,0,88.34,420.0,0.0,99275.82,0.1,11,Peak
O0011,S10,M7,692,692,692,0,2025-08-20,2025-08-26,2025-08-26,0,0,0,0,0,0,95.38,1610.0,0.0,67612.11,0.35,8,Normal
O0012,S2,M3,386,386,386,0,2025-10-04,2025-10-10,2025-10-10,0,0,0,0,0,0,84.73,500.0,0.0,33205.17,0.15,10,Peak
